pH,TDS,Turbidity,Phospate,Nitrate,Iron,COD(mg/L),Chlorine,Sodium,Class
7.6,931,1.74,0.024169978,8,0.323210655,391,4,14,0
7.5,656,2.92,0.026509558,8,0.345425342,417,3,2,1
7.6,776,2.29,0.01111307,8,0.321965631,397,1,20,2
7.6,736,1.25,0.023685552,6,0.306266125,414,3,11,1
7.6,915,2.63,0.016437298,6,0.346977681,427,1,13,1
7.5,862,1.81,0.023601986,8,0.394344656,391,2,16,2
7.6,766,1.84,0.019405018,6,0.320743047,424,3,13,1
7.6,850,3.07,0.000156292,6,0.35710904,396,1,14,0
7.5,668,0.37,0.02597889,8,0.343015063,427,2,9,1
7.6,796,0.38,0.005210802,6,0.405484555,401,1,10,1
7.6,944,3.54,0.00935871,6,0.359835266,409,2,12,1
7.6,661,2.53,0.012318221,8,0.341511883,397,2,18,2
7.574505007,739,4.14,0.02150066,6,0.353591123,411,4,20,1
7.548675312,696,3.67,0.014720498,6,0.312312684,416,2,1,1
7.578795598,870,1.16,0.012768715,6,0.313670519,425,1,3,1
7.53257341,889,1.41,0.019676127,8,0.329795483,397,4,9,2
7.546246601,919,3.34,0.015352094,7,0.34241102,396,1,14,0
7.500750365,879,2.69,0.017232344,7,0.303625158,412,2,1,1
7.573679042,675,3.63,0.008807581,6,0.357595914,422,1,18,1
7.535390546,627,3.2,0.015591048,6,0.38145595,422,3,2,1
7.539257642,812,2.47,0.019180363,8,0.392263848,400,2,18,1
7.537191235,708,2.12,0.016434391,8,0.409136823,422,3,9,1
7.506708052,658,1.85,0.018802425,7,0.33860363,395,2,2,2
7.593794311,782,4.18,0.023981583,7,0.348914949,408,1,5,1
7.50758757,696,2.73,0.006226109,6,0.312445392,413,1,19,1
7.548910473,932,0.9,0.007224568,8,0.391855981,391,4,15,0
7.595788024,761,1.63,0.009730884,8,0.306546472,391,1,16,2
7.547916917,660,3.31,0.001678325,6,0.350238683,399,3,18,0
7.549643255,657,3.02,0.001667173,7,0.357213945,394,3,15,0
7.582615968,743,2.68,0.005658769,6,0.316829701,425,4,16,1
7.584248498,758,3.48,0.029889388,7,0.385332033,411,1,5,1
7.576051998,766,2.28,0.0181014,8,0.397042614,397,4,12,2
7.503366019,820,1.52,0.0101726,7,0.366187708,400,4,8,1
7.598912932,816,3.76,0.011251725,8,0.356498221,399,4,7,2
7.582236274,778,3.85,0.002793868,8,0.325930962,409,3,10,1
7.562501592,690,1.27,0.004039606,8,0.361656933,426,2,1,1
7.574531359,646,1.7,0.024667394,7,0.383786112,409,2,7,1
7.589066207,946,1.7,0.016075795,7,0.31070996,392,4,13,0
7.564059053,935,0.79,0.013817618,8,0.325597984,393,4,1,0
7.570160819,770,0.88,0.010642317,7,0.407984042,430,2,14,1
7.52047411,682,2.79,0.026199753,8,0.379315285,390,1,20,2
7.586274701,798,0.61,0.003021049,8,0.367938901,405,3,4,1
7.510422555,883,2.32,0.026089859,7,0.364732278,410,2,20,1
7.582398188,874,3.27,0.021711033,8,0.370811886,403,4,12,1
7.518662273,830,3.27,0.006476644,7,0.356550458,395,3,3,2
7.574629948,788,2.91,0.012891581,7,0.358771513,417,1,18,1
7.508267135,801,1.8,0.001941828,8,0.403696928,423,1,19,1
7.557466827,674,0.73,0.020261033,8,0.303598085,408,4,14,1
7.571637413,748,1.08,0.02824198,6,0.391759271,397,1,13,2
7.582242207,843,3.15,0.008306203,6,0.363470801,401,1,12,1
7.527410168,667,3.22,0.021126169,6,0.393962244,414,2,3,1
7.522288658,940,1,0.016549901,7,0.338986001,391,2,15,0
7.512717701,739,3.17,0.028814038,8,0.326664348,403,4,4,1
7.559309674,686,0.46,0.027132458,8,0.33740334,421,1,7,1
7.561775571,810,3.36,0.007571618,8,0.34729094,414,3,8,1
7.54489505,628,3.16,0.020857478,8,0.359226424,412,3,19,1
7.592329056,857,3.1,0.013480268,8,0.356240858,400,2,7,1
7.533110998,717,3.26,0.003666835,7,0.360925404,414,3,13,1
7.545166486,898,3.72,0.029894792,8,0.301089308,399,1,8,2
7.501056768,878,3.71,0.028883982,7,0.383071014,391,1,1,2
7.56164918,827,3.38,0.02482996,6,0.332398842,416,4,11,1
7.597063342,902,3.04,0.027840864,7,0.393217375,423,4,4,1
7.549562817,854,0.9,0.027733369,8,0.356818431,427,3,17,1
7.525248733,806,2.25,0.011326378,6,0.374730942,396,2,20,2
7.517525725,816,1.26,0.005071694,8,0.376088112,397,3,6,2
7.513840008,924,2.22,0.01170559,6,0.32426497,408,3,12,1
7.548146736,858,1.38,0.013898955,7,0.364908056,402,3,12,1
7.596663203,708,3.69,0.001115977,6,0.322270179,407,1,1,1
7.550664998,918,2.95,0.008577405,7,0.379330932,394,1,12,0
7.57134869,691,2.17,0.006333267,6,0.328849631,415,4,17,1
7.513263049,953,3.23,0.017585514,6,0.393279884,399,4,7,0
7.540368668,748,3.1,0.001748364,7,0.357101007,406,1,6,1
7.51811537,880,1.31,0.015905674,6,0.326118345,412,3,5,1
7.52394497,850,2.65,0.00332481,7,0.377580054,429,3,8,1
7.515367174,732,3.43,0.005645592,7,0.388757488,428,2,20,1
7.579020141,896,2.85,0.021782143,6,0.303765296,418,1,6,1
7.589642983,951,3.98,0.029715845,8,0.304123196,420,1,7,1
7.528213064,636,1.09,0.002072515,6,0.319436825,393,3,1,0
7.522808241,764,0.24,0.023173537,7,0.332985649,421,4,7,1
7.591538885,645,3.62,0.021464093,8,0.360999463,428,3,5,1
7.57355055,716,1.74,0.021547761,7,0.382750612,421,3,11,1
7.597379733,835,0.74,0.013583805,6,0.304717415,417,1,13,1
7.597986923,799,3.48,0.021843163,7,0.352196758,415,1,10,1
7.598995774,631,3.72,0.029212635,8,0.375447763,403,1,19,1
7.539786743,932,0.81,0.016306728,8,0.334369092,394,4,16,0
7.570032615,807,0.8,0.010842962,6,0.349468757,393,4,16,2
7.527975257,683,1.31,0.015179192,7,0.355434488,405,3,12,1
7.557499237,735,2.22,0.014880993,6,0.320609266,428,2,7,1
7.579204993,755,1.42,0.021344017,7,0.406953397,419,3,17,1
7.571991995,961,3.99,0.013827421,8,0.385240936,396,4,2,0
7.554238676,901,3.38,0.023086133,8,0.390108384,397,3,2,0
7.527228724,706,2.46,0.029276766,6,0.305649505,420,1,20,1
7.523521319,945,3.32,0.02705438,7,0.39712431,422,4,6,1
7.501329324,700,1.06,0.003324981,7,0.31219181,398,3,1,0
7.527451329,779,4.19,0.026508368,6,0.381503125,427,1,20,1
7.503605826,841,0.72,0.016786526,8,0.333310818,411,1,13,1
7.510400168,915,1.03,0.010382435,8,0.371538969,410,3,12,1
7.5709659,828,2.77,0.009955653,6,0.323660557,395,3,7,2
7.508874778,670,1.97,0.016301104,7,0.347036988,423,2,1,1
7.519462931,866,2.28,0.006092509,8,0.318235353,403,3,7,1
7.58821546,654,1.03,0.004331416,7,0.354590628,414,2,19,1
7.544787487,673,3.65,0.000347126,7,0.305745622,391,3,1,0
7.55885144,940,3.03,0.02665254,7,0.303532756,405,4,13,1
7.583880422,698,2.99,0.00967643,8,0.305267954,394,2,13,2
7.500545668,681,3,0.029086058,7,0.312932995,402,3,20,1
7.56425918,888,0.27,0.007683228,6,0.384833504,428,1,12,1
7.511925485,942,0.55,0.010262501,7,0.375823942,417,1,20,1
7.583715501,798,3.52,0.02662923,7,0.403129092,423,2,11,1
7.561093551,944,1.66,0.022066258,8,0.347896744,429,2,14,1
7.582845405,669,0.84,0.007664871,7,0.318410824,391,1,16,2
7.587784955,871,2.08,0.007665845,6,0.318243917,417,3,11,1
7.53639777,959,2.51,0.004084559,6,0.401659987,390,2,18,0
7.509957721,746,1.13,0.004344119,7,0.335286397,405,3,20,1
7.561265722,799,0.96,0.006061445,8,0.354942852,417,2,13,1
7.507176496,841,2.17,0.021566643,8,0.317762567,405,3,2,1
7.50294014,860,3.06,0.002336346,7,0.321521858,430,4,1,1
7.556479063,823,2.14,0.019812957,6,0.316051483,404,2,12,1
7.509536155,851,4.05,0.010254275,7,0.3965909,413,1,15,1
7.591948151,664,0.96,0.023832187,7,0.37421941,421,3,13,1
7.51830816,756,0.53,0.02379765,7,0.393659434,404,1,16,1
7.5502999,967,2.48,0.023539277,8,0.354428102,390,2,1,0
7.535400492,714,1.32,0.007753018,6,0.339947692,409,1,8,1
7.528304712,642,3.8,0.027973092,8,0.387365052,394,3,8,2
7.57359457,846,1.58,0.020148211,6,0.376259022,407,4,19,1
7.511480768,920,2.32,0.011079709,6,0.324461585,405,3,6,1
7.572356832,797,3.46,0.014368647,7,0.382456858,409,4,14,1
7.591038651,830,3.51,0.025429513,8,0.342002864,411,4,20,1
7.502318188,704,0.44,0.025198256,7,0.34898178,399,4,13,2
7.506584624,786,3.89,0.02966622,6,0.325540698,422,2,10,1
7.520716097,721,3.42,0.002972804,6,0.364323225,394,3,19,0
7.596082044,748,2.54,0.012514956,6,0.342287262,405,4,13,1
7.59116454,866,0.98,0.026527658,7,0.340491147,422,3,1,1
7.511465628,665,3.56,0.025332833,6,0.307183889,396,3,6,2
7.501864765,626,1.64,0.016173053,7,0.340097729,404,2,9,1
7.518376339,629,0.59,0.011684685,7,0.338796095,420,2,7,1
7.578690841,694,3.74,0.002523197,6,0.304031681,408,4,13,1
7.541647202,957,3.52,0.001879143,6,0.36537086,390,4,6,0
7.591973323,831,1.99,0.000885384,7,0.363005552,393,1,9,0
7.54905156,830,0.94,0.01347601,6,0.36560721,427,4,12,1
7.552271942,824,0.66,0.029140899,8,0.385739083,415,4,7,1
7.552277727,642,0.73,0.029637288,6,0.389649336,418,4,17,1
7.584500129,677,1.62,0.007312783,6,0.356632817,414,3,1,1
7.510724138,870,0.81,0.026358225,7,0.328748273,426,2,14,1
7.578148328,825,1.39,0.021785267,6,0.370157131,392,4,2,2
7.594307077,839,0.35,0.019382423,7,0.38315484,423,1,18,1
7.590538891,857,3.62,0.018709563,7,0.300487153,402,2,6,1
7.563937218,877,0.45,0.02640593,8,0.360812805,415,3,8,1
7.525389178,768,3.37,0.024153564,8,0.367005342,424,4,19,1
7.590446246,895,1.69,0.011118088,7,0.393562463,425,1,12,1
7.509155091,927,3.88,0.011143242,7,0.379643933,392,3,10,0
7.567409101,628,2.26,0.019756905,8,0.381702729,391,3,14,2
7.54521002,803,2.18,0.025083405,7,0.327700448,402,4,14,1
7.541893933,977,2.17,0.00863665,7,0.398928271,424,3,13,1
7.573336297,852,0.9,0.015650441,8,0.362387347,394,3,16,2
7.521219325,932,2.05,0.011360761,8,0.326544244,430,1,8,1
7.565787521,714,3.96,0.008203862,7,0.367271496,430,3,5,1
7.531657951,822,3.77,0.000331937,8,0.32408523,426,4,3,1
7.556112934,773,1.84,0.027936958,6,0.397233013,413,4,20,1
7.585175054,741,2.13,0.00454872,7,0.361120789,426,1,4,1
7.534608812,797,0.4,0.015424117,6,0.396239095,429,4,10,1
7.591010864,708,1.61,0.013628834,8,0.34710288,393,1,1,2
7.592753887,714,0.53,0.012128184,7,0.408165463,393,2,14,0
7.59657451,680,4.18,0.006869821,6,0.325211602,420,2,14,1
7.560666544,808,1.56,0.026097674,6,0.350575282,404,4,10,1
7.569876161,960,2.45,0.027783305,6,0.376330778,395,3,8,0
7.582743385,759,1.02,0.015718376,7,0.370818691,406,3,7,1
7.578162314,825,1.25,0.012659755,6,0.328669912,419,1,11,1
7.557291889,692,1.14,0.007468652,7,0.338413926,423,3,18,1
7.552424681,902,3.58,0.009372439,7,0.317294536,405,2,14,1
7.575970857,857,0.29,0.020803194,7,0.402294451,417,1,10,1
7.525565565,654,3.29,0.029589101,7,0.306739532,428,3,8,1
7.56972291,626,1.41,0.015019164,7,0.306451057,403,4,18,1
7.539553374,809,3.12,0.029921287,6,0.324874366,422,3,19,1
7.533625611,881,0.52,0.029842152,7,0.395899222,410,4,14,1
7.519512361,741,0.2,0.001101481,7,0.403555731,391,4,19,0
7.578292814,970,1.1,0.004107996,8,0.405364635,416,4,9,1
7.561440328,859,1.09,0.012640477,7,0.405940193,396,3,4,0
7.547420976,793,0.89,0.002860127,8,0.353709774,400,1,5,1
7.56900561,865,0.36,0.005061894,6,0.358463978,395,1,9,2
7.526477367,764,2.78,0.006423244,6,0.342216476,394,2,18,2
7.527889519,944,2.98,0.014048641,8,0.311974384,423,2,9,1
7.585728674,829,3.58,0.026406867,8,0.376998114,409,1,1,1
7.576573952,933,2.65,0.001648046,8,0.399762908,390,3,2,0
7.509061257,861,2.97,0.003771294,8,0.352469742,427,1,15,1
7.57246244,714,4.19,0.010588051,8,0.319625282,421,3,4,1
7.503183314,961,3.78,0.009748167,7,0.382946463,419,1,5,1
7.576717274,829,1.86,0.019509953,8,0.365212951,405,2,16,1
7.591045808,845,2.34,0.006513058,6,0.38303606,417,3,4,1
7.57767066,913,0.27,0.006949187,6,0.338405555,428,1,4,1
7.562281425,636,1.32,0.010216985,6,0.368434977,402,4,7,1
7.543040409,929,3.64,0.001377998,6,0.36849498,399,3,10,0
7.574237031,662,3.46,0.004435271,7,0.399889365,410,4,1,1
7.506059445,973,1.13,0.01941672,8,0.409004242,417,4,1,1
7.575001479,757,0.16,0.025862484,8,0.384229425,410,3,1,1
7.587992342,727,0.88,0.019672309,6,0.390694285,400,2,4,1
7.509649494,905,3.64,0.011135944,8,0.303447257,403,2,4,1
7.541921751,936,4.08,0.016449142,7,0.312906233,399,1,14,0
7.551196715,861,0.14,0.022857244,6,0.402186437,403,1,18,1
7.501807555,752,0.58,0.019608099,8,0.361226982,418,2,20,1
7.521250647,778,2.92,0.000495538,8,0.376780701,405,4,10,1
7.556478365,784,1.26,0.02852264,6,0.354529579,393,4,15,2
7.56209674,699,2.97,0.013704923,7,0.385477428,407,2,11,1
7.561049689,954,0.54,0.029044219,6,0.394176967,421,1,15,1
7.523367842,628,2.24,0.029699506,8,0.308157246,423,3,20,1
7.519138626,891,1.94,0.003737383,7,0.3958975,427,4,18,1
7.518881932,760,0.12,0.01270599,6,0.319956507,421,2,19,1
7.536367335,897,1.49,0.023711195,7,0.339322216,403,4,11,1
7.516200986,942,1,0.026473471,8,0.389782422,403,3,12,1
7.566917093,972,0.31,0.026725787,7,0.409918793,425,4,14,1
7.500272404,689,2.43,0.006707736,8,0.378506598,413,3,14,1
7.543144136,888,2.74,0.006614197,7,0.366687357,419,4,8,1
7.554954066,661,2.81,0.001120539,8,0.314141855,399,4,8,0
7.549866783,942,2.64,0.006411106,8,0.387606086,418,4,2,1
7.596952167,715,2.07,0.003863776,7,0.39090108,397,1,12,0
7.592782789,873,3.57,0.011324207,7,0.404986399,428,3,6,1
7.551814906,729,1.35,0.003378657,7,0.303327322,390,2,6,0
7.515163316,760,0.3,0.02328121,7,0.400331019,400,3,20,1
7.512436165,942,0.41,0.006293576,8,0.350169171,423,3,14,1
7.503525447,773,1.52,0.006506096,6,0.400566365,415,2,20,1
7.585898147,737,1.75,0.025835308,8,0.33981069,423,2,5,1
7.545589935,716,2.92,0.012151158,7,0.307987356,406,2,3,1
7.577668364,914,2.37,0.006875745,8,0.305097411,416,4,12,1
7.580319181,751,3.52,0.02137403,7,0.394817415,409,1,20,1
7.561323666,906,2.49,0.006264968,8,0.403959079,415,2,2,1
7.583493448,693,1.39,0.029010083,8,0.406783244,409,1,5,1
7.584095028,792,2.54,0.016222951,7,0.361277767,399,4,4,2
7.520626431,665,1.14,0.024370922,6,0.311806296,415,2,11,1
7.510997545,976,1.22,0.013554036,6,0.312445207,407,4,6,1
7.505837095,673,1.47,0.007918978,8,0.338936891,394,3,4,2
7.531712602,791,2.29,0.012507198,7,0.368928304,416,3,8,1
7.573267713,755,3.6,0.00176377,8,0.342386525,397,3,20,0
7.557199775,739,3.17,0.012527923,7,0.318217407,418,4,20,1
7.591614659,939,3.51,0.012493535,8,0.3554411,428,3,16,1
7.509230275,887,2.25,0.019962139,6,0.331473234,419,2,18,1
7.566109962,970,2.21,0.015778486,7,0.306055421,412,3,6,1
7.578719926,946,4.2,0.014599816,7,0.349148385,415,3,18,1
7.597315229,657,2.74,0.007407622,6,0.372859399,425,3,20,1
7.501824723,857,2.27,0.009786394,7,0.371001338,404,2,7,1
7.51210821,694,1.16,0.026743557,6,0.323138072,392,3,10,2
7.580110174,667,2.94,0.028897524,7,0.365647806,409,2,7,1
7.592467039,878,3.23,0.023070305,6,0.315598784,429,3,5,1
7.517467024,870,1.25,0.00399124,8,0.324586456,414,1,6,1
7.523692729,937,3.21,0.001552186,6,0.348196804,415,4,1,1
7.518175916,854,2.43,0.002122149,7,0.385647602,394,1,1,0
7.536741062,662,3.01,0.02844831,6,0.365226657,425,3,9,1
7.578272848,966,2.27,0.013582688,6,0.39530542,390,1,14,0
7.532640144,631,3.37,0.029955024,6,0.350968718,398,3,7,2
7.518457287,717,4.17,0.014751561,8,0.378714634,390,3,8,2
7.510524136,889,3.98,0.01312603,6,0.390832547,412,2,10,1
7.574071042,862,0.26,0.010745191,8,0.344403677,408,1,10,1
7.561448788,963,0.81,0.017050301,7,0.405664746,428,4,17,1
7.506028499,634,4.04,0.02213456,8,0.375112694,393,1,15,2
7.556093903,683,3.8,0.025665996,8,0.34034073,397,3,9,2
7.539144831,840,3.53,0.016520992,7,0.331200107,415,2,15,1
7.537783135,782,2.24,0.017544925,6,0.304230624,426,4,13,1
7.512462966,864,2.71,0.012534884,6,0.322111554,396,1,15,2
7.585810827,840,2.78,0.028238888,8,0.36235487,418,1,10,1
7.513187615,678,1.06,0.018753496,6,0.321781227,418,2,11,1
7.555125432,937,0.11,0.002615823,7,0.370312612,422,2,20,1
7.553763514,737,1.89,0.013324561,8,0.403443339,420,4,1,1
7.58846095,683,2.9,0.026277205,8,0.317916701,409,4,16,1
7.537153826,682,3.46,0.029845873,7,0.310046474,410,1,11,1
7.51961918,834,0.58,0.018882436,7,0.347935379,430,4,7,1
7.502722683,766,1.2,0.015963117,8,0.331065589,422,3,9,1
7.559411422,725,3.54,0.027100343,7,0.331261013,394,1,15,2
7.554536474,972,0.32,0.015674957,6,0.379652172,392,3,20,0
7.587701721,911,0.61,0.022885742,8,0.309864589,403,3,20,1
7.526690299,719,3.33,0.014748321,8,0.334869578,426,4,19,1
7.501623269,692,3.16,0.028855705,7,0.371821586,409,1,12,1
7.52832727,817,1.15,0.008186132,8,0.342552867,409,1,6,1
7.581292607,919,1.8,0.029862342,6,0.310927052,409,2,13,1
7.59499994,769,2.68,0.008017456,8,0.305201302,406,3,3,1
7.526604276,679,3.61,0.011846859,8,0.357027223,428,3,11,1
7.542682796,764,3.28,0.011241778,6,0.309230167,402,4,4,1
7.556509139,657,0.24,0.021586933,6,0.388969652,403,2,17,1
7.594271999,780,3.33,0.015377028,6,0.36977517,428,3,18,1
7.579088782,850,0.94,0.020130464,7,0.344082678,405,4,4,1
7.50536009,706,1.46,0.011125929,6,0.34763932,413,2,8,1
7.564943624,829,3.29,0.024971613,7,0.309676381,423,4,5,1
7.576540649,754,0.83,0.007435869,7,0.381806168,405,3,18,1
7.555239749,854,2.25,0.017522051,6,0.32558992,408,1,17,1
7.570210479,906,1.07,0.012876828,7,0.407602189,427,4,13,1
7.510658031,880,0.15,0.014478374,6,0.371056634,412,1,12,1
7.553789927,844,4.01,0.022708585,6,0.365366464,410,3,9,1
7.581644991,642,0.27,0.024064683,8,0.300955954,428,3,16,1
7.512548244,937,0.96,0.026696539,7,0.358173619,430,4,13,1
7.593034397,891,0.34,0.007278322,8,0.390430875,395,1,3,2
7.538275034,774,1.28,0.013750808,6,0.328382104,414,1,16,1
7.546561264,906,3.58,0.018109051,7,0.387423233,419,2,4,1
7.523924472,682,2.78,0.029778038,8,0.325220318,411,1,3,1
7.576990807,725,2.24,0.020607365,7,0.327029424,397,4,12,2
7.598038815,891,3.51,0.001161283,6,0.408218298,417,4,16,1
7.50768268,852,1.22,0.004235195,8,0.337169548,399,3,10,0
7.583271146,819,2.15,0.00365163,6,0.376556347,418,3,3,1
7.527661819,864,3.97,0.027563995,6,0.327980372,411,1,16,1
7.521265085,762,2.29,0.018088331,7,0.382451182,403,1,2,1
7.590577599,844,3.48,0.014598369,6,0.400448819,407,2,18,1
7.553495594,879,2.08,0.018454039,8,0.318960802,397,4,1,2
7.530265327,842,0.3,0.00905282,7,0.349774765,425,2,17,1
7.506102978,871,0.83,0.0190342,6,0.304254535,393,2,12,2
7.505083443,758,1.66,0.023144577,6,0.382807156,411,2,10,1
7.593550281,951,0.3,0.014663092,6,0.348925956,410,1,18,1
7.585440623,977,3.8,0.005599882,7,0.320230395,430,4,13,1
7.536833656,837,0.14,0.017884162,8,0.317378008,411,1,14,1
7.556122017,911,0.91,0.02235199,8,0.371792108,410,3,10,1
7.599983327,850,1.34,0.027520944,8,0.355953775,420,2,6,1
7.598066134,930,2.58,0.026807006,7,0.398900578,415,4,5,1
7.545273611,859,1.57,0.024232719,8,0.333195865,394,3,12,2
7.507109004,825,0.5,0.007366707,8,0.333105087,392,4,18,2
7.52068239,696,2.13,0.026608604,7,0.38930366,429,2,10,1
7.585882684,736,3.67,0.021155354,6,0.314868428,404,2,7,1
7.562855156,720,2.95,0.009005781,6,0.348787073,395,4,18,2
7.576548617,920,3.7,0.002519303,6,0.322910528,402,4,13,1
7.599465847,775,3.19,0.024530919,7,0.328879662,400,2,9,1
7.57366539,689,4.15,0.023451035,7,0.384151755,393,1,1,2
7.540842524,967,0.81,0.011229954,8,0.368990671,408,3,15,1
7.596600323,753,3.25,0.000232597,7,0.339539107,423,1,18,1
7.576413978,679,0.88,0.018504013,8,0.335112102,407,2,6,1
7.504671017,774,2.69,0.026257068,8,0.3996118,397,2,17,2
7.581947969,752,2.26,0.029243494,7,0.368423647,406,1,6,1
7.531667853,700,3.68,0.006709139,7,0.406516624,394,2,2,0
7.595459487,777,3.2,0.029220609,7,0.302658462,405,2,1,1
7.588995933,715,1.82,0.024371899,8,0.335049833,399,3,11,2
7.554108304,649,1.86,0.023971192,7,0.323517984,423,1,16,1
7.580445783,634,2.28,0.023951695,6,0.394244179,409,1,16,1
7.501508028,932,0.12,0.006696213,6,0.369621556,396,1,12,0
7.590214861,772,0.56,0.028460664,7,0.364043146,406,1,15,1
